membership:sample_set_id	sample_id
TSCA15	AA24-Tumor-SM-DHZ8W
TSCA15	AA25-Tumor-SM-DHZ99
TSCA15	AA33-Normal-SM-DHZ9L
TSCA15	AA33-Tumor-SM-DHZ9X
TSCA15	AA38-Tumor-SM-DHZ98
TSCA15	AA39-Tumor-SM-DHZAA
TSCA15	AA40-Tumor-SM-DHZ7W
TSCA15	AA42-Tumor-SM-DHZ9W
TSCA15	AA43-Tumor-SM-DHZ8K
TSCA15	AA44-Normal-SM-DHZ88
TSCA15	AA45-Tumor-SM-DHZ9K
TSCA15	AA46-Tumor-SM-DHZA9
TSCA15	AA47-Tumor-SM-DHZ7V
TSCA15	AB058-Tumor-SM-DHZ6B
TSCA15	BICR78-Tumor-SM-DHZ79
TSCA15	BT1008-Tumor-SM-DHZ75
TSCA15	BT1008-Tumor-SM-DHZ5R
TSCA15	BT1009-Tumor-SM-DHZ7D
TSCA15	BT1009-Tumor-SM-DHZ71
TSCA15	BT1011-Tumor-SM-DHZ5F
TSCA15	BT1012-Tumor-SM-DHZ95
TSCA15	BT1019-Tumor-SM-DHZ6G
TSCA15	BT1019-Tumor-SM-DHZ5S
TSCA15	BT1033-Tumor-SM-DHZ7C
TSCA15	BT1035-Tumor-SM-DHZ4Y
TSCA15	BT1037-Tumor-SM-DHZ5B
TSCA15	BT1038-Tumor-SM-DHZ5N
TSCA15	BT1042-Tumor-SM-DHZ64
TSCA15	BT1044-Tumor-SM-DHZ52
TSCA15	BT952-Tumor-SM-DHZ5A
TSCA15	BT987-Tumor-SM-DHZ7B
TSCA15	BT987-Tumor-SM-DHZ5G
TSCA15	BT990-Tumor-SM-DHZ6Z
TSCA15	BT992-Tumor-SM-DHZ7H
TSCA15	CY002-Tumor-SM-DHZ5D
TSCA15	CY004-Tumor-SM-DHZ73
TSCA15	CY006-Tumor-SM-DHZ62
TSCA15	DW020-Tumor-SM-DHZ7A
TSCA15	DW020-Tumor-SM-DHZ5W
TSCA15	DW041-Tumor-SM-DHZ66
TSCA15	DW041-Tumor-SM-DHZ5C
TSCA15	EH014-Tumor-SM-DHZ54
TSCA15	EH016-Normal-SM-DHZ5K
TSCA15	EH016-Normal-SM-DHZ5Q
TSCA15	EH016-Normal-SM-DHZ61
TSCA15	EH016-Normal-SM-DHZ69
TSCA15	EH017-Tumor-SM-DHZ63
TSCA15	EH018-Tumor-SM-DHZ9H
TSCA15	EH019-Normal-SM-DHZ8I
TSCA15	EH019-Tumor-SM-DHZ9T
TSCA15	EH019-Tumor-SM-DHZ7S
TSCA15	EH019-Tumor-SM-DHZA6
TSCA15	EH020-Normal-SM-DHZ8U
TSCA15	EH020-Tumor-SM-DHZ85
TSCA15	EH020-Tumor-SM-DHZ8H
TSCA15	EH020-Tumor-SM-DHZ8T
